Tilt,Month,Threshold_Level,Threshold_Value,Hours_Above_Threshold,Percentage_Above_Threshold
55,January,50%,273.72720000000004,7,29.166666666666668
55,January,65%,355.8453600000001,3,12.5
55,January,80%,437.9635200000001,0,0.0
55,February,50%,383.4272857142857,7,29.166666666666668
55,February,65%,498.4554714285714,7,29.166666666666668
55,February,80%,613.4836571428572,0,0.0
55,March,50%,494.9303714285714,9,37.5
55,March,65%,643.4094828571428,8,33.33333333333333
55,March,80%,791.8885942857142,1,4.166666666666666
55,April,50%,555.9222285714286,10,41.66666666666667
55,April,65%,722.6988971428572,9,37.5
55,April,80%,889.4755657142858,5,20.833333333333336
55,May,50%,541.0316857142857,11,45.83333333333333
55,May,65%,703.3411914285714,10,41.66666666666667
55,May,80%,865.6506971428571,8,33.33333333333333
55,June,50%,566.8291714285714,11,45.83333333333333
55,June,65%,736.8779228571428,10,41.66666666666667
55,June,80%,906.9266742857143,8,33.33333333333333
55,July,50%,565.4513999999999,11,45.83333333333333
55,July,65%,735.0868199999999,10,41.66666666666667
55,July,80%,904.7222399999999,8,33.33333333333333
55,August,50%,557.7599714285714,11,45.83333333333333
55,August,65%,725.0879628571428,9,37.5
55,August,80%,892.4159542857142,6,25.0
55,September,50%,499.4836857142858,10,41.66666666666667
55,September,65%,649.3287914285715,8,33.33333333333333
55,September,80%,799.1738971428573,3,12.5
55,October,50%,396.4952285714285,8,33.33333333333333
55,October,65%,515.4437971428571,6,25.0
55,October,80%,634.3923657142857,0,0.0
55,November,50%,263.99174285714287,6,25.0
55,November,65%,343.18926571428574,6,25.0
55,November,80%,422.3867885714286,0,0.0
55,December,50%,232.40197142857144,6,25.0
55,December,65%,302.1225628571429,2,8.333333333333332
55,December,80%,371.8431542857143,0,0.0
