Orientation,Azimuth,Tilt,Month,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
East,90,55,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.72,197.83,193.06,164.19,113.8,67.75,51.46,28.98,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,February,0.0,0.0,0.0,0.0,0.0,0.0,12.71,219.99,309.98,301.7,261.96,190.67,107.94,77.71,57.67,27.49,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,March,0.0,0.0,0.0,0.0,0.0,22.12,204.16,372.88,426.45,412.59,360.92,268.43,153.48,102.08,81.71,58.92,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,April,0.0,0.0,0.0,0.0,11.0,178.67,381.01,482.67,515.06,479.71,414.9,316.22,190.2,120.31,102.38,82.11,50.99,9.02,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,May,0.0,0.0,0.0,2.78,105.52,288.07,409.84,499.94,526.54,492.52,416.34,330.58,217.4,131.88,112.45,94.18,66.89,33.6,2.56,0.0,0.0,0.0,0.0,0.0
East,90,55,June,0.0,0.0,0.0,11.71,156.66,309.95,434.98,520.33,550.68,525.62,452.98,360.08,239.49,140.21,119.37,102.72,77.17,46.45,11.16,0.0,0.0,0.0,0.0,0.0
East,90,55,July,0.0,0.0,0.0,0.0,114.21,297.97,423.35,513.63,549.76,525.29,455.05,362.57,241.46,137.7,117.37,100.5,76.39,44.0,8.38,0.0,0.0,0.0,0.0,0.0
East,90,55,August,0.0,0.0,0.0,0.0,23.74,229.22,388.42,488.59,525.23,502.28,436.61,334.66,209.14,123.01,106.63,87.88,59.9,22.1,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,September,0.0,0.0,0.0,0.0,0.0,98.2,296.85,393.31,434.71,409.37,347.64,256.06,143.8,104.27,83.79,59.65,22.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,October,0.0,0.0,0.0,0.0,0.0,0.0,121.35,268.57,300.36,278.66,238.58,161.49,94.91,73.77,51.53,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,November,0.0,0.0,0.0,0.0,0.0,0.0,11.6,139.12,187.17,174.17,146.47,96.34,66.65,48.11,24.31,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.72,164.05,161.82,129.16,79.21,53.13,38.12,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,37.15,54.56,69.7,122.88,177.39,194.8,161.71,25.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,February,0.0,0.0,0.0,0.0,0.0,0.0,1.33,30.99,63.0,79.47,101.47,187.35,270.93,293.79,286.68,180.04,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,March,0.0,0.0,0.0,0.0,0.0,1.79,28.65,65.98,91.71,104.98,163.85,282.2,373.44,403.44,395.16,351.43,173.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,April,0.0,0.0,0.0,0.0,1.25,26.59,64.25,91.32,109.46,130.02,239.15,364.2,444.19,464.22,449.37,412.35,309.64,56.67,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,May,0.0,0.0,0.0,0.0,16.39,51.4,81.34,104.37,117.0,163.44,277.44,384.58,454.48,473.56,469.49,431.44,346.36,207.65,21.36,0.0,0.0,0.0,0.0,0.0
West,270,55,June,0.0,0.0,0.0,0.88,25.5,59.04,87.2,110.03,121.69,174.96,292.71,402.57,473.79,510.42,509.59,466.65,378.58,256.35,65.81,0.0,0.0,0.0,0.0,0.0
West,270,55,July,0.0,0.0,0.0,0.0,17.68,52.47,82.42,104.96,118.12,157.8,273.38,387.01,461.85,501.13,508.63,474.71,391.0,268.57,61.0,0.0,0.0,0.0,0.0,0.0
West,270,55,August,0.0,0.0,0.0,0.0,2.79,35.28,69.45,96.91,109.1,134.71,248.45,367.08,453.15,488.32,486.6,441.7,350.92,148.93,4.02,0.0,0.0,0.0,0.0,0.0
West,270,55,September,0.0,0.0,0.0,0.0,0.0,11.67,48.84,77.71,96.84,113.1,206.13,321.74,392.1,417.23,396.56,351.65,164.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,October,0.0,0.0,0.0,0.0,0.0,0.0,19.72,54.84,76.75,87.25,149.03,247.29,301.15,310.06,279.85,142.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,November,0.0,0.0,0.0,0.0,0.0,0.0,1.02,24.01,48.33,60.2,88.92,151.03,189.45,196.5,142.46,15.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,32.15,46.84,61.93,110.24,154.26,157.86,84.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
