Month,Threshold_Level,Threshold_Value,Hours_Above_Threshold,Percentage_Above_Threshold
January,50%,273.72720000000004,6,25.0
January,65%,355.8453600000001,5,20.833333333333336
January,80%,437.9635200000001,3,12.5
February,50%,383.4272857142857,7,29.166666666666668
February,65%,498.4554714285714,5,20.833333333333336
February,80%,613.4836571428572,4,16.666666666666664
March,50%,494.9303714285714,7,29.166666666666668
March,65%,643.4094828571428,6,25.0
March,80%,791.8885942857142,5,20.833333333333336
April,50%,555.9222285714286,8,33.33333333333333
April,65%,722.6988971428572,6,25.0
April,80%,889.4755657142858,5,20.833333333333336
May,50%,541.0316857142857,9,37.5
May,65%,703.3411914285714,7,29.166666666666668
May,80%,865.6506971428571,6,25.0
June,50%,566.8291714285714,9,37.5
June,65%,736.8779228571428,7,29.166666666666668
June,80%,906.9266742857143,5,20.833333333333336
July,50%,565.4513999999999,9,37.5
July,65%,735.0868199999999,7,29.166666666666668
July,80%,904.7222399999999,5,20.833333333333336
August,50%,557.7599714285714,8,33.33333333333333
August,65%,725.0879628571428,7,29.166666666666668
August,80%,892.4159542857142,5,20.833333333333336
September,50%,499.4836857142858,8,33.33333333333333
September,65%,649.3287914285715,6,25.0
September,80%,799.1738971428573,4,16.666666666666664
October,50%,396.4952285714285,6,25.0
October,65%,515.4437971428571,6,25.0
October,80%,634.3923657142857,4,16.666666666666664
November,50%,263.99174285714287,6,25.0
November,65%,343.18926571428574,5,20.833333333333336
November,80%,422.3867885714286,3,12.5
December,50%,232.40197142857144,6,25.0
December,65%,302.1225628571429,5,20.833333333333336
December,80%,371.8431542857143,4,16.666666666666664
